"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,1,1,-1.88130729155284,-1.91993400988517,-1.92049387032315,-1.92045266848163,-1.92045266848163,0.118692708447155,0.0800659901148337,0.0795061296768522,0.0795473315183737,0.0795473315183737,0.701356377895566,0.720375425984355,0.720607414867116,0.720575882816028,0.720575882816028,-0.298643622104434,-0.279624574015645,-0.279392585132884,-0.279424117183972,-0.279424117183972
40,100,-2,1,1,-2.01696676131666,-2.05066126741702,-2.05101675210694,-2.05102727501603,-2.05102727501603,-0.0169667613166644,-0.0506612674170155,-0.0510167521069356,-0.0510272750160263,-0.0510272750160263,0.978412577509824,0.997906446069729,0.998020362475987,0.99802908821451,0.99802908821451,-0.021587422490176,-0.00209355393027066,-0.00197963752401287,-0.0019709117854898,-0.0019709117854898
40,100,-2,1,1,-2.31194520790656,-2.35890422845244,-2.35954402338855,-2.35952278700044,-2.35952278700044,-0.311945207906556,-0.358904228452436,-0.359544023388554,-0.359522787000436,-0.359522787000436,1.22372911611379,1.25423916283339,1.25454322174649,1.25452537307755,1.25452537307755,0.223729116113786,0.25423916283339,0.254543221746491,0.254525373077554,0.254525373077554
40,100,-2,1,1,-2.3346834522411,-2.38608818684112,-2.38677619897234,-2.38672252344964,-2.38670689091552,-0.334683452241096,-0.386088186841119,-0.386776198972344,-0.386722523449643,-0.386706890915518,1.67920872253399,1.7210705617604,1.72156329021626,1.72151554275072,1.72151723249903,0.679208722533986,0.721070561760404,0.721563290216259,0.721515542750722,0.721517232499032
40,100,-2,1,1,-1.87778005573773,-1.90950680946017,-1.90987499319958,-1.9098614081206,-1.9098614081206,0.122219944262269,0.0904931905398252,0.0901250068004176,0.0901385918794033,0.0901385918794033,1.17747260753276,1.20073510563522,1.20101029422352,1.20099363261522,1.20099363261522,0.177472607532758,0.200735105635218,0.201010294223515,0.200993632615221,0.200993632615221
40,100,-2,1,1,-1.88819693847457,-1.92744769191893,-1.92808019042079,-1.92807305624564,-1.92807305624564,0.111803061525426,0.0725523080810748,0.0719198095792133,0.0719269437543577,0.0719269437543577,0.789911832583843,0.81024958095711,0.810559489649052,0.810552732707108,0.810552732707108,-0.210088167416157,-0.18975041904289,-0.189440510350948,-0.189447267292892,-0.189447267292892
40,100,-2,1,1,-2.10214802399364,-2.14062538286184,-2.14106628328242,-2.14106668354542,-2.14106668354542,-0.102148023993637,-0.140625382861836,-0.141066283282423,-0.141066683545423,-0.141066683545423,1.21185646783662,1.2390062138479,1.23934037926706,1.23933089719757,1.23933089719757,0.21185646783662,0.2390062138479,0.239340379267064,0.23933089719757,0.23933089719757
40,100,-2,1,1,-2.50203051463166,-2.56193347887978,-2.56287452642968,-2.56280593740968,-2.56280593740968,-0.502030514631663,-0.561933478879776,-0.562874526429681,-0.562805937409681,-0.562805937409681,1.79519135781971,1.84562832715536,1.84639151607105,1.84633304904924,1.84633304904924,0.795191357819714,0.845628327155361,0.846391516071055,0.846333049049241,0.846333049049241
40,100,-2,1,1,-2.11366622760231,-2.16133680515636,-2.16226271042768,-2.16219452164401,-2.16219670794005,-0.113666227602309,-0.161336805156364,-0.162262710427677,-0.162194521644006,-0.162196707940055,0.838882613874189,0.864812742650993,0.865290144198963,0.865217325335688,0.86521709942244,-0.161117386125811,-0.135187257349007,-0.134709855801037,-0.134782674664312,-0.13478290057756
40,100,-2,1,1,-2.08809505189523,-2.1251568997918,-2.12563913309891,-2.12561910721995,-2.12561910721995,-0.0880950518952339,-0.125156899791802,-0.125639133098915,-0.125619107219948,-0.125619107219948,0.96871639625755,0.99075681564261,0.990978473341685,0.990966350318558,0.990966350318558,-0.03128360374245,-0.0092431843573898,-0.00902152665831535,-0.00903364968144216,-0.00903364968144216
