"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,0,1,-1.77784191513374,-1.8075657535431,-1.80810068733993,-1.80809962867607,-1.80809962867607,0.222158084866262,0.192434246456902,0.191899312660074,0.191900371323928,0.191900371323928,-0.0310501202163427,-0.0302726117220833,-0.0301943013730248,-0.0301979742233511,-0.0301979742233511,-0.0310501202163427,-0.0302726117220833,-0.0301943013730248,-0.0301979742233511,-0.0301979742233511
40,100,-2,0,1,-2.12601419847446,-2.17229847750974,-2.17322074917178,-2.17321271677596,-2.17320160826528,-0.126014198474465,-0.172298477509743,-0.173220749171783,-0.173212716775963,-0.173201608265285,0.242361862621601,0.250689157270475,0.25079963258842,0.250814120979058,0.250801461361888,0.242361862621601,0.250689157270475,0.25079963258842,0.250814120979058,0.250801461361888
40,100,-2,0,1,-2.22937657198967,-2.27045793097065,-2.27140016154934,-2.27138968363499,-2.27138968363499,-0.229376571989672,-0.27045793097065,-0.271400161549336,-0.271389683634993,-0.271389683634993,0.185864359975422,0.191018672409608,0.191293855285721,0.191309462763217,0.191309462763217,0.185864359975422,0.191018672409608,0.191293855285721,0.191309462763217,0.191309462763217
40,100,-2,0,1,-1.80506172211643,-1.83804372201982,-1.83861679309488,-1.83859463206131,-1.83859463206131,0.194938277883568,0.161956277980183,0.161383206905116,0.161405367938694,0.161405367938694,-0.0948509143031576,-0.0977772672162127,-0.0978359696083414,-0.0978204685811551,-0.0978204685811551,-0.0948509143031576,-0.0977772672162127,-0.0978359696083414,-0.0978204685811551,-0.0978204685811551
40,100,-2,0,1,-1.8056656010979,-1.83956040228184,-1.8404923701001,-1.84043972199584,-1.84043972199584,0.194334398902103,0.160439597718159,0.159507629899898,0.159560278004155,0.159560278004155,-0.468568450130267,-0.483431498256275,-0.483569191804706,-0.483571953451388,-0.483571953451388,-0.468568450130267,-0.483431498256275,-0.483569191804706,-0.483571953451388,-0.483571953451388
40,100,-2,0,1,-1.89200073900943,-1.93166936842828,-1.93251492941297,-1.93246898615126,-1.93246865489188,0.107999260990569,0.068330631571722,0.0674850705870265,0.0675310138487379,0.0675313451081192,0.132051210308007,0.138422678966311,0.138615776423479,0.138589107894959,0.138588552815692,0.132051210308007,0.138422678966311,0.138615776423479,0.138589107894959,0.138588552815692
40,100,-2,0,1,-1.63632704183185,-1.66875896790678,-1.66955811334084,-1.6694189589885,-1.66941859454922,0.363672958168148,0.331241032093216,0.330441886659155,0.330581041011501,0.330581405450778,-0.373489305499627,-0.38825979686602,-0.388652723609206,-0.388672730474452,-0.388678311681307,-0.373489305499627,-0.38825979686602,-0.388652723609206,-0.388672730474452,-0.388678311681307
40,100,-2,0,1,-1.96095908563611,-2.00211849134097,-2.00323993690023,-2.00319365098411,-2.00319582618479,0.0390409143638852,-0.00211849134096731,-0.00323993690023183,-0.00319365098410973,-0.0031958261847862,-0.401250011977931,-0.418133391681238,-0.418466534384157,-0.418427757896804,-0.418438636866257,-0.401250011977931,-0.418133391681238,-0.418466534384157,-0.418427757896804,-0.418438636866257
40,100,-2,0,1,-1.84524403186187,-1.87833163111667,-1.87888943024147,-1.87890425802787,-1.87890425802787,0.154755968138127,0.121668368883332,0.121110569758533,0.121095741972129,0.121095741972129,0.127562877639015,0.131496739295709,0.131565151088371,0.131581632975538,0.131581632975538,0.127562877639015,0.131496739295709,0.131565151088371,0.131581632975538,0.131581632975538
40,100,-2,0,1,-1.64787815221521,-1.68381179125699,-1.68447338606135,-1.68446697660416,-1.6844685653245,0.352121847784791,0.316188208743012,0.315526613938646,0.31553302339584,0.315531434675496,0.0873470442461763,0.0859483276131109,0.0859080827333367,0.085966481083823,0.0859680836911243,0.0873470442461763,0.0859483276131109,0.0859080827333367,0.085966481083823,0.0859680836911243
