"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,-1.5,1,-2.06078898907026,-2.09235497181785,-2.09366644468514,-2.09357727184121,-2.09357248108661,-0.0607889890702582,-0.0923549718178478,-0.0936664446851427,-0.0935772718412133,-0.0935724810866123,-1.39983688882457,-1.45709903394906,-1.45858558130807,-1.45849662773587,-1.45851060954646,0.10016311117543,0.0429009660509418,0.0414144186919303,0.0415033722641318,0.0414893904535352
40,100,-2,-1.5,1,-1.86298704679038,-1.88763287622995,-1.88922980109698,-1.88908500515628,-1.88908961709471,0.137012953209621,0.112367123770051,0.110770198903015,0.11091499484372,0.110910382905286,-1.9147893683251,-2.00159296912685,-2.00327730034348,-2.00317108164918,-2.00317980704861,-0.414789368325101,-0.501592969126846,-0.50327730034348,-0.503171081649176,-0.503179807048605
40,100,-2,-1.5,1,-1.69663278722758,-1.72300256543476,-1.72389281093087,-1.72385618279729,-1.72385095713806,0.303367212772417,0.276997434565245,0.276107189069128,0.276143817202707,0.276149042861943,-1.32710175376712,-1.375445877218,-1.37671057964533,-1.37656022798537,-1.37655175764187,0.172898246232884,0.124554122782,0.123289420354673,0.123439772014632,0.123448242358132
40,100,-2,-1.5,1,-1.48116551200426,-1.50866896977141,-1.5099568277961,-1.50989734323565,-1.50989606789642,0.518834487995739,0.491331030228587,0.490043172203903,0.490102656764347,0.490103932103582,-1.86317014133349,-1.94806015844245,-1.94963715650889,-1.94934083530868,-1.94933621129067,-0.36317014133349,-0.448060158442453,-0.449637156508891,-0.449340835308678,-0.449336211290671
40,100,-2,-1.5,1,-1.86863376593424,-1.90216285274484,-1.90363421887293,-1.90348281311674,-1.90347294594617,0.13136623406576,0.0978371472551554,0.0963657811270684,0.0965171868832562,0.0965270540538263,-1.52901692217545,-1.60245446484923,-1.60485078186463,-1.60439319654884,-1.60438214608749,-0.0290169221754539,-0.102454464849231,-0.104850781864631,-0.10439319654884,-0.104382146087491
40,100,-2,-1.5,1,-2.07873606749579,-2.12479552507437,-2.12731903047138,-2.12697349896213,-2.126987524592,-0.0787360674957891,-0.124795525074368,-0.12731903047138,-0.126973498962132,-0.126987524591998,-1.42156922920337,-1.50314913361942,-1.50585793564996,-1.50507799650463,-1.50503757160249,0.0784307707966345,-0.00314913361941693,-0.0058579356499584,-0.00507799650462593,-0.00503757160248597
40,100,-2,-1.5,1,-2.06219657156705,-2.11371651523357,-2.11638166633999,-2.116235278657,-2.11623543473312,-0.0621965715670481,-0.113716515233574,-0.116381666339993,-0.116235278657004,-0.116235434733124,-1.35142415258849,-1.4260571452686,-1.42703473950416,-1.42665910598188,-1.42665280081894,0.148575847411508,0.0739428547313978,0.0729652604958404,0.0733408940181173,0.0733471991810553
40,100,-2,-1.5,1,-2.12602163265301,-2.16102460149093,-2.16269426594589,-2.162539769349,-2.16254125726058,-0.12602163265301,-0.161024601490928,-0.162694265945886,-0.162539769348998,-0.162541257260584,-1.5181128484315,-1.58843040039233,-1.59080873548207,-1.59057704392379,-1.59056858279668,-0.0181128484314976,-0.0884304003923289,-0.0908087354820664,-0.0905770439237941,-0.0905685827966838
40,100,-2,-1.5,1,-1.93660478078197,-1.93223267871366,-1.93398000285047,-1.93387334292687,-1.9338645967218,0.0633952192180265,0.0677673212863441,0.0660199971495341,0.0661266570731347,0.066135403278202,-2.71614546063051,-1.83742864193227,-1.83984774519252,-1.83942276674119,-1.83942952768811,-1.21614546063051,-0.337428641932266,-0.339847745192522,-0.33942276674119,-0.33942952768811
40,100,-2,-1.5,1,-2.33965761311199,-2.39150409998347,-2.39387546929066,-2.39373705046963,-2.39373705046963,-0.339657613111992,-0.391504099983465,-0.393875469290658,-0.393737050469629,-0.393737050469629,-0.648307479966275,-0.679179113400115,-0.679247582521248,-0.679189067608767,-0.679189067608767,0.851692520033725,0.820820886599885,0.820752417478752,0.820810932391233,0.820810932391233
40,100,-2,-1.5,1,-1.45108130639501,-1.78475534460986,-1.78612187203064,-1.78603808602519,-1.78601932888439,0.548918693604992,0.215244655390137,0.213878127969363,0.213961913974811,0.21398067111561,1.44217487088534,-2.31630254847692,-2.31988573424951,-2.31927401300742,-2.31928989668999,2.94217487088534,-0.816302548476916,-0.819885734249513,-0.819274013007424,-0.819289896689991
40,100,-2,-1.5,1,-1.9799205503132,-2.0125224053004,-2.01360801288496,-2.01357526492126,-2.01357526492126,0.0200794496868,-0.0125224053004009,-0.0136080128849612,-0.0135752649212622,-0.0135752649212622,-1.04087014028976,-1.0807725601842,-1.08143567861508,-1.08138049823129,-1.08138049823129,0.459129859710239,0.419227439815802,0.418564321384922,0.418619501768711,0.418619501768711
40,100,-2,-1.5,1,-1.89017943501396,-1.92254141697804,-1.92401651220782,-1.92394627756709,-1.92394036300142,0.109820564986035,0.0774585830219618,0.075983487792175,0.0760537224329139,0.0760596369985804,-1.49311386207801,-1.56123584791276,-1.56215524788964,-1.56200691685653,-1.56199384939703,0.00688613792199,-0.0612358479127573,-0.0621552478896408,-0.062006916856532,-0.0619938493970265
40,100,-2,-1.5,1,-1.84010791013579,-1.86915640943748,-1.87045621968474,-1.87029491787519,-1.87029300180191,0.15989208986421,0.130843590562515,0.129543780315264,0.129705082124807,0.129706998198094,-2.12960553308499,-2.24208029552029,-2.24452014183716,-2.244292996938,-2.244304161485,-0.629605533084995,-0.74208029552029,-0.744520141837157,-0.744292996938003,-0.744304161485004
40,100,-2,-1.5,1,-2.13195331659544,-2.17076908162496,-2.17241569377898,-2.17234364273876,-2.17233981966003,-0.131953316595439,-0.170769081624956,-0.17241569377898,-0.172343642738755,-0.172339819660034,-1.14300157768041,-1.19584165624095,-1.19663471903237,-1.19652863619379,-1.19653374496964,0.356998422319588,0.304158343759047,0.303365280967627,0.303471363806207,0.303466255030358
40,100,-2,-1.5,1,-2.03701137398584,-2.06963716039769,-2.07077307108403,-2.07067112770753,-2.07066678706836,-0.0370113739858362,-0.0696371603976935,-0.0707730710840258,-0.0706711277075298,-0.070666787068359,-1.72805341693661,-1.79575098345611,-1.7988570576059,-1.79863878503947,-1.79863975968053,-0.228053416936606,-0.295750983456108,-0.298857057605897,-0.298638785039468,-0.298639759680527
40,100,-2,-1.5,1,-1.50504995804804,-1.5254309302376,-1.52588258342489,-1.52587352325697,-1.52586472056385,0.494950041951961,0.474569069762399,0.474117416575108,0.47412647674303,0.474135279436148,-1.92453769860078,-1.98709145572049,-1.9898334370154,-1.98945696881305,-1.98948241626788,-0.424537698600776,-0.487091455720491,-0.4898334370154,-0.489456968813053,-0.489482416267876
40,100,-2,-1.5,1,-1.94111967518612,-1.97213572506716,-1.97321101056246,-1.97311711874728,-1.97310889708048,0.0588803248138776,0.0278642749328371,0.0267889894375397,0.0268828812527175,0.0268911029195187,-1.64366785585129,-1.70738812964923,-1.71026341951763,-1.70999522813539,-1.70997301319211,-0.143667855851288,-0.20738812964923,-0.210263419517627,-0.209995228135386,-0.20997301319211
40,100,-2,-1.5,1,-1.97518056917695,-2.00904846402491,-2.01055770477815,-2.01044322130813,-2.01043812546447,0.0248194308230505,-0.00904846402491133,-0.0105577047781491,-0.0104432213081349,-0.0104381254644679,-1.46505754563065,-1.53726116002029,-1.53973713542476,-1.53943295725138,-1.53943663323132,0.0349424543693468,-0.0372611600202921,-0.039737135424756,-0.0394329572513845,-0.0394366332313196
40,100,-2,-1.5,1,-2.2149855551011,-2.25663612402053,-2.25960500160683,-2.25925502670191,-2.25925416638721,-0.214985555101096,-0.256636124020527,-0.25960500160683,-0.259255026701906,-0.259254166387211,-1.52695532879178,-1.61748612420735,-1.61923607402876,-1.61902661498929,-1.61900998499945,-0.0269553287917816,-0.117486124207353,-0.119236074028761,-0.119026614989295,-0.119009984999447
40,100,-2,-1.5,1,-2.06660276304833,-2.10706494771809,-2.1090236520865,-2.10886274084572,-2.10886674896409,-0.066602763048333,-0.10706494771809,-0.109023652086503,-0.108862740845717,-0.108866748964086,-1.66137690667225,-1.75335064736707,-1.75568045187082,-1.75542265356046,-1.75541013421447,-0.161376906672246,-0.25335064736707,-0.255680451870815,-0.255422653560458,-0.255410134214468
40,100,-2,-1.5,1,-1.25109795884688,-1.27223958256862,-1.27310467771191,-1.27307316363007,-1.27307316363007,0.748902041153123,0.727760417431376,0.726895322288088,0.726926836369932,0.726926836369932,-1.79137944890982,-1.85685848969772,-1.85759291694765,-1.85748365928545,-1.85748365928545,-0.291379448909823,-0.35685848969772,-0.357592916947651,-0.357483659285445,-0.357483659285445
